,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation1,param_batch_size,param_dropout1,param_epochs,param_input_dim,param_loss,param_optimizer,param_units1,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,22.292478942871092,1.3874676102437278,0.5268139839172363,0.06991224974046266,relu,64,0.01,500,954,categorical_crossentropy,adam,100,"{'activation1': 'relu', 'batch_size': 64, 'dropout1': 0.01, 'epochs': 500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 100}",0.6714285612106323,0.6714285612106323,0.6714285612106323,0.7142857313156128,0.7142857313156128,0.6714285612106323,0.6857143044471741,0.6571428775787354,0.6857143044471741,0.5857142806053162,0.6728571474552154,0.03407675020947665,988
1,27.744656896591188,0.8277788644929366,0.512718939781189,0.08853018686904278,relu,64,0.01,500,954,categorical_crossentropy,adam,250,"{'activation1': 'relu', 'batch_size': 64, 'dropout1': 0.01, 'epochs': 500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 250}",0.6857143044471741,0.6714285612106323,0.7571428418159485,0.6857143044471741,0.7142857313156128,0.699999988079071,0.6142857074737549,0.6714285612106323,0.6857143044471741,0.6857143044471741,0.6871428608894348,0.03407674396258582,815
2,45.34313457012176,1.8690981062474898,0.452559757232666,0.04999630307495585,relu,64,0.01,500,954,categorical_crossentropy,adam,500,"{'activation1': 'relu', 'batch_size': 64, 'dropout1': 0.01, 'epochs': 500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 500}",0.699999988079071,0.699999988079071,0.7142857313156128,0.7142857313156128,0.6714285612106323,0.7142857313156128,0.6571428775787354,0.6714285612106323,0.6428571343421936,0.6571428775787354,0.684285718202591,0.025911941344908748,854
3,59.47595219612121,3.52505147951865,0.48417952060699465,0.07086018713240524,relu,64,0.01,500,954,categorical_crossentropy,adam,750,"{'activation1': 'relu', 'batch_size': 64, 'dropout1': 0.01, 'epochs': 500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 750}",0.7142857313156128,0.6714285612106323,0.800000011920929,0.6285714507102966,0.699999988079071,0.699999988079071,0.6714285612106323,0.6428571343421936,0.6285714507102966,0.6571428775787354,0.6814285755157471,0.048676355660356,902
4,63.632706475257876,5.345701138303693,0.3284956455230713,0.05315989695430837,relu,64,0.01,500,954,categorical_crossentropy,adam,1000,"{'activation1': 'relu', 'batch_size': 64, 'dropout1': 0.01, 'epochs': 500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 1000}",0.7571428418159485,0.6428571343421936,0.7142857313156128,0.699999988079071,0.6714285612106323,0.6571428775787354,0.6714285612106323,0.6285714507102966,0.6857143044471741,0.6571428775787354,0.6785714328289032,0.03571427941322613,928
5,83.3307160615921,8.362192835530736,0.3345505714416504,0.03253553660554398,relu,64,0.01,500,954,categorical_crossentropy,adam,1500,"{'activation1': 'relu', 'batch_size': 64, 'dropout1': 0.01, 'epochs': 500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 1500}",0.6571428775787354,0.7285714149475098,0.7571428418159485,0.7142857313156128,0.7428571581840515,0.6857143044471741,0.6714285612106323,0.6428571343421936,0.6285714507102966,0.6285714507102966,0.6857142925262452,0.04517538868287265,830
6,58.4921781539917,3.626915581679663,0.3807726621627808,0.12199802763430562,relu,64,0.01,1500,954,categorical_crossentropy,adam,100,"{'activation1': 'relu', 'batch_size': 64, 'dropout1': 0.01, 'epochs': 1500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 100}",0.7857142686843872,0.6285714507102966,0.7428571581840515,0.699999988079071,0.7714285850524902,0.7428571581840515,0.6714285612106323,0.6428571343421936,0.6428571343421936,0.699999988079071,0.7028571426868438,0.05337583437277079,537
7,70.6884744644165,3.592475768171208,0.38190255165100095,0.0753601055025826,relu,64,0.01,1500,954,categorical_crossentropy,adam,250,"{'activation1': 'relu', 'batch_size': 64, 'dropout1': 0.01, 'epochs': 1500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 250}",0.6428571343421936,0.699999988079071,0.699999988079071,0.6857143044471741,0.7571428418159485,0.7571428418159485,0.6571428775787354,0.6857143044471741,0.6714285612106323,0.6857143044471741,0.6942857146263123,0.03568569547154986,703
8,106.75271415710449,16.142873126994623,0.370868182182312,0.06810006323591437,relu,64,0.01,1500,954,categorical_crossentropy,adam,500,"{'activation1': 'relu', 'batch_size': 64, 'dropout1': 0.01, 'epochs': 1500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 500}",0.6714285612106323,0.6714285612106323,0.6714285612106323,0.699999988079071,0.7285714149475098,0.7285714149475098,0.6428571343421936,0.6285714507102966,0.7142857313156128,0.7571428418159485,0.6914285659790039,0.03896622803809557,767
9,152.3756771802902,9.516887540977958,0.42380399703979493,0.11468698070549747,relu,64,0.01,1500,954,categorical_crossentropy,adam,750,"{'activation1': 'relu', 'batch_size': 64, 'dropout1': 0.01, 'epochs': 1500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 750}",0.6857143044471741,0.6000000238418579,0.7428571581840515,0.699999988079071,0.6857143044471741,0.7285714149475098,0.699999988079071,0.6142857074737549,0.6571428775787354,0.7285714149475098,0.684285718202591,0.04537822308081915,854
